"Time","Display","Temperature","Temp_Reading","Temp_Alarm","Humidity","Hum_Reading","Hum_Alarm","Pressure","PSI_Reading","PSI_Alarm","Pitch","Roll","Yaw"
"Mon Feb 29 09:46:13 2016","1.00","17.84","-1.00","1.00","44.25","-1.00","1.00","1005.48","0.00","1.00","1.64","50.18","181.56"
"Mon Feb 29 09:46:48 2016","1.00","17.99","-1.00","1.00","45.67","-1.00","1.00","1005.48","0.00","1.00","1.17","50.01","182.80"
"Mon Feb 29 09:47:22 2016","1.00","18.06","0.00","1.00","45.43","-1.00","1.00","1005.51","0.00","1.00","1.11","50.58","183.53"
"Mon Feb 29 09:47:57 2016","1.00","18.11","0.00","1.00","45.05","-1.00","1.00","1005.47","0.00","1.00","2.17","50.22","184.24"
"Mon Feb 29 09:48:31 2016","1.00","18.14","0.00","1.00","45.25","-1.00","1.00","1005.52","0.00","1.00","349.45","57.40","152.21"
"Mon Feb 29 09:49:05 2016","1.00","18.25","0.00","1.00","45.82","-1.00","1.00","1005.49","0.00","1.00","354.28","59.35","148.30"
"Mon Feb 29 09:49:39 2016","1.00","18.12","0.00","1.00","45.52","-1.00","1.00","1005.53","0.00","1.00","356.85","58.55","149.71"
"Mon Feb 29 09:50:13 2016","1.00","18.25","0.00","1.00","45.60","-1.00","1.00","1005.49","0.00","1.00","2.50","51.22","187.12"
"Mon Feb 29 09:50:47 2016","1.00","18.30","0.00","1.00","44.94","-1.00","1.00","1005.45","0.00","1.00","1.43","50.25","188.03"
"Mon Feb 29 09:51:22 2016","1.00","18.44","0.00","1.00","44.77","-1.00","1.00","1005.51","0.00","1.00","1.90","50.88","188.69"
"Mon Feb 29 09:51:56 2016","1.00","18.36","0.00","1.00","44.47","-1.00","1.00","1005.51","0.00","1.00","3.16","50.99","188.32"
"Mon Feb 29 09:52:30 2016","1.00","18.49","0.00","1.00","44.51","-1.00","1.00","1005.54","0.00","1.00","2.35","51.05","189.11"
"Mon Feb 29 09:53:04 2016","1.00","18.58","0.00","1.00","44.01","-1.00","1.00","1005.53","0.00","1.00","4.15","51.13","190.44"
"Mon Feb 29 09:53:38 2016","1.00","18.51","0.00","1.00","45.48","-1.00","1.00","1005.56","0.00","1.00","2.61","50.36","190.52"
"Mon Feb 29 09:54:13 2016","1.00","18.68","0.00","1.00","44.32","-1.00","1.00","1005.49","0.00","1.00","2.03","51.31","190.94"
"Mon Feb 29 09:54:47 2016","1.00","18.58","0.00","1.00","43.83","-1.00","1.00","1005.54","0.00","1.00","1.30","50.93","191.67"
"Mon Feb 29 09:55:21 2016","1.00","18.58","0.00","1.00","44.92","-1.00","1.00","1005.52","0.00","1.00","2.01","51.42","191.44"
"Mon Feb 29 09:55:55 2016","1.00","18.87","0.00","1.00","44.10","-1.00","1.00","1005.59","0.00","1.00","359.96","51.69","192.42"
"Mon Feb 29 09:56:29 2016","1.00","18.74","0.00","1.00","45.25","-1.00","1.00","1005.54","0.00","1.00","3.20","50.99","193.06"
"Mon Feb 29 09:57:03 2016","1.00","18.97","0.00","1.00","43.83","-1.00","1.00","1005.56","0.00","1.00","2.36","51.24","193.55"
"Mon Feb 29 09:57:38 2016","1.00","18.79","0.00","1.00","43.77","-1.00","1.00","1005.56","0.00","1.00","1.99","51.51","194.55"
"Mon Feb 29 09:58:12 2016","1.00","18.77","0.00","1.00","43.77","-1.00","1.00","1005.50","0.00","1.00","1.04","51.29","195.05"
"Mon Feb 29 09:58:46 2016","1.00","18.72","0.00","1.00","43.46","-1.00","1.00","1005.60","0.00","1.00","1.44","51.24","195.82"
"Mon Feb 29 09:59:20 2016","1.00","18.82","0.00","1.00","43.37","-1.00","1.00","1005.57","0.00","1.00","2.88","50.69","197.03"
"Mon Feb 29 09:59:54 2016","1.00","18.76","0.00","1.00","43.60","-1.00","1.00","1005.57","0.00","1.00","1.91","50.61","198.14"
"Mon Feb 29 10:00:29 2016","1.00","18.68","0.00","1.00","44.06","-1.00","1.00","1005.58","0.00","1.00","4.14","49.98","198.99"
"Mon Feb 29 10:01:03 2016","1.00","18.85","0.00","1.00","43.65","-1.00","1.00","1005.63","0.00","1.00","3.24","50.85","199.24"
"Mon Feb 29 10:01:37 2016","1.00","18.79","0.00","1.00","43.31","-1.00","1.00","1005.55","0.00","1.00","2.46","50.95","198.82"
"Mon Feb 29 10:02:11 2016","1.00","18.78","0.00","1.00","43.32","-1.00","1.00","1005.62","0.00","1.00","1.50","51.30","199.83"
"Mon Feb 29 10:02:45 2016","1.00","18.80","0.00","1.00","43.62","-1.00","1.00","1005.63","0.00","1.00","0.94","51.71","200.09"
"Mon Feb 29 10:03:19 2016","1.00","18.83","0.00","1.00","43.36","-1.00","1.00","1005.61","0.00","1.00","3.93","50.40","202.43"
"Mon Feb 29 10:03:53 2016","1.00","18.80","0.00","1.00","43.34","-1.00","1.00","1005.57","0.00","1.00","2.52","51.05","202.48"
"Mon Feb 29 10:04:28 2016","1.00","18.89","0.00","1.00","43.29","-1.00","1.00","1005.59","0.00","1.00","3.11","50.77","204.57"
"Mon Feb 29 10:05:02 2016","1.00","18.86","0.00","1.00","43.09","-1.00","1.00","1005.57","0.00","1.00","0.30","51.62","203.88"
"Mon Feb 29 10:05:36 2016","1.00","18.86","0.00","1.00","43.15","-1.00","1.00","1005.61","0.00","1.00","1.59","50.48","206.50"
"Mon Feb 29 10:06:10 2016","1.00","18.98","0.00","1.00","42.31","-1.00","1.00","1005.58","0.00","1.00","2.01","51.18","207.22"
